country,year,total_exports_$B,total_rel_err,net_bias_$,mean_abs_bin_resid_$B,mean_abs_resid_pct_of_total
CHN,2000,312.4,-2.0e-16,-3.56e-05,3.12,1.0
CHN,2008,1516.3,+1.6e-16,+2.82e-04,10.21,0.67
CHN,2012,2065.9,+1.2e-16,+8.38e-05,16.98,0.82
CHN,2018,2466.1,+0.0e+00,-1.53e-04,17.36,0.7
CHN,2024,3459.8,+0.0e+00,-1.58e-05,16.74,0.48
USA,2000,769.0,+0.0e+00,-1.85e-05,9.88,1.28
USA,2008,1244.4,-2.0e-16,-1.03e-04,11.88,0.95
USA,2012,1506.4,+0.0e+00,-2.48e-04,11.31,0.75
USA,2018,1599.0,+0.0e+00,-1.69e-04,16.72,1.05
USA,2024,2038.2,-2.4e-16,-2.16e-04,17.63,0.86
DEU,2000,511.1,+0.0e+00,+2.45e-05,5.59,1.09
DEU,2008,1362.1,+0.0e+00,-4.18e-05,11.72,0.86
DEU,2012,1320.5,+0.0e+00,+7.86e-06,6.59,0.5
DEU,2018,1455.0,+1.7e-16,+3.97e-04,13.14,0.9
DEU,2024,1502.4,+0.0e+00,+4.80e-05,9.52,0.63
JPN,2000,483.2,-1.3e-16,-5.94e-05,6.82,1.41
JPN,2008,788.7,+1.5e-16,+1.39e-04,7.52,0.95
JPN,2012,781.5,+0.0e+00,+6.15e-06,5.49,0.7
JPN,2018,746.2,+0.0e+00,-8.14e-05,7.45,1.0
JPN,2024,694.4,+1.8e-16,-1.84e-05,7.97,1.15
KOR,2000,165.2,-1.8e-16,-2.56e-05,2.56,1.55
KOR,2008,411.1,+0.0e+00,-2.13e-05,3.53,0.86
KOR,2012,551.3,+0.0e+00,+4.74e-05,5.15,0.93
KOR,2018,600.6,+0.0e+00,+3.08e-06,7.99,1.33
KOR,2024,681.4,+1.8e-16,+1.62e-04,8.6,1.26
MEX,2000,160.4,+1.9e-16,+1.24e-05,2.21,1.38
MEX,2008,285.9,-2.1e-16,-3.65e-05,2.74,0.96
MEX,2012,375.9,+1.6e-16,+3.93e-05,3.32,0.88
MEX,2018,455.7,+1.3e-16,+2.64e-05,4.57,1.0
MEX,2024,636.5,+1.9e-16,+2.24e-05,5.22,0.82
