pci,coverage_top20_mean,coverage_top30_mean,coverage_top50_mean
-2.5,0.4284,0.6175,0.7997
-2.458,0.4325,0.6174,0.8013
-2.416,0.4378,0.6194,0.8034
-2.3739,0.444,0.6233,0.8056
-2.3319,0.4521,0.6301,0.8081
-2.2899,0.4622,0.6399,0.8111
-2.2479,0.4727,0.651,0.8137
-2.2059,0.4817,0.6614,0.815
-2.1639,0.4885,0.6699,0.8151
-2.1218,0.4926,0.6764,0.8148
-2.0798,0.4946,0.6812,0.8146
-2.0378,0.4953,0.6843,0.8148
-1.9958,0.4956,0.686,0.8153
-1.9538,0.4962,0.687,0.8165
-1.9118,0.4977,0.6883,0.8185
-1.8697,0.5001,0.6903,0.8213
-1.8277,0.5032,0.6933,0.8248
-1.7857,0.5072,0.6969,0.8286
-1.7437,0.5126,0.7009,0.8327
-1.7017,0.5199,0.7052,0.8369
-1.6597,0.5294,0.7097,0.8409
-1.6176,0.5409,0.714,0.8444
-1.5756,0.5542,0.7184,0.8475
-1.5336,0.5689,0.7231,0.8505
-1.4916,0.5846,0.7283,0.8537
-1.4496,0.6002,0.734,0.8569
-1.4076,0.6143,0.7398,0.8601
-1.3655,0.6258,0.7454,0.8631
-1.3235,0.6342,0.7503,0.8657
-1.2815,0.64,0.7545,0.8679
-1.2395,0.6442,0.7581,0.8697
-1.1975,0.6473,0.7613,0.8716
-1.1555,0.6496,0.7645,0.8735
-1.1134,0.6512,0.7676,0.8758
-1.0714,0.652,0.7706,0.8782
-1.0294,0.6524,0.7734,0.8809
-0.9874,0.6534,0.7764,0.8838
-0.9454,0.6558,0.7799,0.8873
-0.9034,0.6598,0.7841,0.8914
-0.8613,0.6653,0.7889,0.896
-0.8193,0.6716,0.794,0.9005
-0.7773,0.6783,0.7988,0.9048
-0.7353,0.6853,0.8035,0.9088
-0.6933,0.693,0.8081,0.9126
-0.6513,0.7012,0.8128,0.9163
-0.6092,0.7095,0.8174,0.9198
-0.5672,0.7171,0.8217,0.923
-0.5252,0.7236,0.8256,0.9257
-0.4832,0.7289,0.829,0.928
-0.4412,0.7328,0.8319,0.9299
-0.3992,0.7358,0.8346,0.9316
-0.3571,0.738,0.837,0.9331
-0.3151,0.7398,0.8393,0.9344
-0.2731,0.7413,0.8415,0.9357
-0.2311,0.7426,0.8436,0.9369
-0.1891,0.7438,0.8457,0.9382
-0.1471,0.745,0.8477,0.9394
-0.105,0.746,0.8496,0.9407
-0.063,0.7471,0.8514,0.942
-0.021,0.7482,0.8531,0.9433
0.021,0.7494,0.8547,0.9446
0.063,0.7509,0.8563,0.946
0.105,0.7528,0.8581,0.9476
0.1471,0.7553,0.86,0.9492
0.1891,0.7584,0.8623,0.951
0.2311,0.7622,0.8648,0.9529
0.2731,0.7668,0.8677,0.955
0.3151,0.7718,0.8709,0.9573
0.3571,0.7773,0.8742,0.9596
0.3992,0.7828,0.8775,0.9619
0.4412,0.7883,0.8805,0.9642
0.4832,0.7934,0.8832,0.9665
0.5252,0.7981,0.8855,0.9687
0.5672,0.8022,0.8874,0.9708
0.6092,0.8058,0.8889,0.9729
0.6513,0.8087,0.8902,0.9747
0.6933,0.8112,0.8913,0.9765
0.7353,0.8136,0.8924,0.9781
0.7773,0.8161,0.8937,0.9796
0.8193,0.8188,0.8952,0.981
0.8613,0.8219,0.897,0.9823
0.9034,0.8254,0.8991,0.9836
0.9454,0.8292,0.9015,0.9848
0.9874,0.833,0.904,0.9859
1.0294,0.8368,0.9065,0.9868
1.0714,0.8401,0.9085,0.9877
1.1134,0.8428,0.9102,0.9884
1.1555,0.8447,0.9113,0.9889
1.1975,0.8457,0.912,0.9893
1.2395,0.8463,0.9128,0.9896
1.2815,0.8468,0.9141,0.9898
1.3235,0.8473,0.9161,0.9901
1.3655,0.8478,0.919,0.9905
1.4076,0.8477,0.9226,0.9909
1.4496,0.8468,0.9266,0.9913
1.4916,0.8449,0.931,0.9918
1.5336,0.842,0.9355,0.9921
1.5756,0.8377,0.9403,0.9924
1.6176,0.832,0.9449,0.9925
1.6597,0.8252,0.9492,0.9926
1.7017,0.8181,0.9527,0.9925
1.7437,0.8115,0.9553,0.9925
1.7857,0.8065,0.9572,0.9925
1.8277,0.8038,0.9584,0.9927
1.8697,0.8034,0.9595,0.9931
1.9118,0.8052,0.9609,0.9936
1.9538,0.8095,0.9627,0.9941
1.9958,0.8171,0.9648,0.9947
2.0378,0.8282,0.9668,0.9952
2.0798,0.8416,0.9684,0.9955
2.1218,0.8554,0.9698,0.9957
2.1639,0.8686,0.9709,0.9957
2.2059,0.8835,0.9713,0.9955
2.2479,0.8972,0.9706,0.995
2.2899,0.911,0.9683,0.9942
2.3319,0.9228,0.9649,0.9932
2.3739,0.9304,0.9608,0.992
2.416,0.9304,0.9559,0.9906
2.458,0.9275,0.9498,0.9891
2.5,0.925,0.9431,0.9875
