iso,period,exports,imports,net,exports_sa,exports_sa3m,imports_sa,imports_sa3m,net_sa,net_sa3m,exports_12m,imports_12m,net_12m
BEL,201701,233556891.7736466,290063388.56240255,-56506496.78875595,237427218.07096237,,306921062.68585837,,-69493844.614896,,,,
BEL,201702,299731192.1203753,294463198.3324341,5267993.787941158,310155147.3793596,,303458066.53215146,,6697080.847208142,,,,
BEL,201703,272793515.3041854,326208151.86966324,-53414636.56547785,251069480.89306033,266217282.1144608,310166112.0573793,306848413.7584631,-59096631.16431898,-40631131.64400229,,,
BEL,201704,219534823.89597103,294566185.0295871,-75031361.13361606,240637639.18842864,267287422.48694953,301607197.13764286,305077125.24239117,-60969557.94921422,-37789702.755441636,,,
BEL,201705,241498652.59091303,339998440.76544905,-98499788.17453602,250144227.38425288,247283782.4885806,318195811.50896376,309989706.9013286,-68051584.12471089,-62705924.41274801,,,
BEL,201706,274016423.31393373,357743995.3272124,-83727572.01327866,244567326.38121608,245116397.6512992,317330804.3172096,312377937.65460545,-72763477.93599352,-67261540.00330624,,,
BEL,201707,241783404.79628292,323025180.55418074,-81241775.75789782,253324520.76424944,249345358.1765728,309015794.10638726,314847469.97752017,-55691273.34213781,-65502111.80094737,,,
BEL,201708,265218396.1635045,300669050.1626371,-35450653.9991326,245835385.84565896,247909077.66370812,322953242.3665209,316433280.2633726,-77117856.52086192,-68524202.59966448,,,
BEL,201709,300737830.571574,345311415.9223955,-44573585.350821555,256280071.98014292,251813326.19668376,342613293.5151626,324860776.6626902,-86333221.53501967,-73047450.46600646,,,
BEL,201710,261424471.37900814,323782174.82651794,-62357703.447509795,258615516.96572137,253576991.5971744,317348598.05053914,327638377.9774075,-58733081.08481777,-74061386.38023311,,,
BEL,201711,246470241.09281886,312328080.84865266,-65857839.755833805,263381718.39870524,259425769.1148565,329752906.3215803,329904932.629094,-66371187.92287505,-70479163.5142375,,,
BEL,201712,221598030.43192226,312774578.2809574,-91176547.84903514,255806852.38751787,259268029.25064814,334729165.8763736,327276890.08283097,-78922313.48885572,-68008860.83218282,3078363873.434136,3820933840.48209,-742569967.0479541
BEL,201801,314508642.8943685,317764235.7523593,-3255592.8579907417,315572619.6910435,278253730.15908885,327006895.1432085,330496322.44705415,-11434275.452165008,-52242592.2879653,3159315624.5548573,3848634687.672046,-689319063.1171889
BEL,201802,255635308.3701352,325272643.5125707,-69637335.14243549,264892998.72358066,278757490.26738065,342434692.94294435,334723584.65417546,-77541694.21936369,-55966094.386794806,3115219740.8046174,3879444132.852183,-764224392.0475656
BEL,201803,281632885.5138416,347916787.51624393,-66283902.002402306,262870364.8301592,281111994.4149278,332425109.6378102,333955565.90798765,-69554744.80765098,-52843571.49305987,3124059111.0142736,3901152768.498764,-777093657.48449
BEL,201804,255100887.5426669,337002574.65396065,-81901687.11129373,273803371.92992705,267188911.82788897,343602758.99209434,339487520.52428293,-69799387.06216729,-72298608.69639397,3159625174.6609697,3943589158.1231375,-783963983.4621676
BEL,201805,254659082.37366533,350848314.3659261,-96189231.99226075,266389224.1835334,267687653.6478732,331731721.18436736,335919863.271424,-65342497.00083396,-68232209.6235508,3172785604.443722,3954439031.7236147,-781653427.2798924
BEL,201806,308261658.966053,382001221.53396904,-73739562.56791604,273588539.6770022,271260378.5968209,340349508.91988426,338561329.69878197,-66760969.24288207,-67300951.10196108,3207030840.0958414,3978696257.9303713,-771665417.8345298
BEL,201807,258025749.38806495,367587986.30458075,-109562236.9165158,271217316.932593,270398360.2643762,364014180.71874166,345365136.9409978,-92796863.78614867,-74966776.67662156,3223273184.687623,4023259063.680771,-799985878.9931479
BEL,201808,304955416.54421276,322021365.369149,-17065948.82493627,287532299.126867,277446051.912154,331933215.7804605,345432301.8063621,-44400916.65359348,-67986249.89420807,3263010205.0683312,4044611378.8872833,-781601173.8189514
BEL,201809,257816844.75249782,315385670.69588524,-57568825.94338742,229958056.884147,262902557.647869,317683983.1214259,337877126.54020935,-87725926.23727894,-74974568.89234036,3220089219.249255,4014685633.660773,-794596414.4115174
BEL,201810,280696638.9882015,379367752.7938182,-98671113.80561668,283544259.842428,267011538.61781397,370324537.91591907,339980578.9392685,-86780278.07349104,-72969040.32145455,3239361386.8584485,4070271211.6280727,-830909824.7696241
BEL,201811,267141732.5324035,306479532.39090663,-39337799.85850313,279662563.04365295,264388293.25674263,324702853.63359034,337570458.22364515,-45040290.58993739,-73182164.96690252,3260032878.298033,4064422663.170327,-804389784.8722935
BEL,201812,234559441.59246823,349393851.34676033,-114834409.7542921,257313536.85134608,273506786.5791424,366667705.1040237,353898365.55117774,-109354168.25267762,-80391578.97203535,3272994289.458579,4101041936.2361298,-828047646.7775505
BEL,201901,264134308.83332166,325735484.5393337,-61601175.70601204,261996119.283254,266324073.0594177,326051096.9516709,339140551.89642835,-64054977.66841689,-72816478.83701065,3222619955.3975325,4109013185.0231047,-886393229.6255717
BEL,201902,250030028.38436115,341016796.79760635,-90986768.4132452,259326177.48624858,259545277.87361622,366864196.14681965,353194332.7341714,-107538018.66057107,-93649054.86055517,3217014675.4117584,4124757338.30814,-907742662.8963814
BEL,201903,316825196.02779585,409090520.99545974,-92265324.96766388,298988365.0185541,273436887.26268554,393084559.1847711,361999950.7610872,-94096194.16621703,-88563063.49840164,3252206985.9257126,4185931071.787356,-933724085.8616431
BEL,201904,302025738.3099554,447700045.25944674,-145674306.94949132,318065021.1671379,292126521.2239802,456057811.60806125,405335522.31321734,-137992790.44092333,-113209001.08923715,3299131836.6930013,4296628542.392841,-997496705.6998407
BEL,201905,343671397.0425136,570335894.1033367,-226664497.06082308,362866866.91346776,326640084.3663866,545012888.6099088,464718419.80091375,-182146021.69644105,-138078335.43452716,3388144151.3618493,4516116122.130253,-1127971970.768403
BEL,201906,385568081.92038316,473916748.64548504,-88348666.72510189,341936883.92540586,340956257.3353372,423725945.71980494,474932215.31259173,-81789061.79439908,-133975957.97725451,3465450574.3161793,4608031649.241768,-1142581074.9255888
BEL,201907,374258993.0093951,554997199.3868728,-180738206.37747765,395384019.9515466,366729256.9301401,567791115.2309117,512176649.85354185,-172407095.27936512,-145447392.92340177,3581683817.9375095,4795440862.32406,-1213757044.3865507
BEL,201908,354189490.583883,492434513.82215995,-138245023.23827696,340827758.6359116,359382887.504288,489190574.9553823,493569211.9686997,-148362816.3194707,-134186324.46441168,3630917891.97718,4965854010.777071,-1334936118.7998915
BEL,201909,364289566.38723284,435298014.75881356,-71008448.37158072,339579316.19899285,358597031.5954837,443874227.1436217,500285305.77663857,-104294910.94462883,-141688274.18115485,3737390613.611915,5085766354.84,-1348375741.2280846
BEL,201910,400241498.3593807,583772675.9893275,-183531177.62994683,413367605.0869913,364591559.9739652,568113234.4700612,500392678.856355,-154745629.38306987,-135801118.88238978,3856935472.983094,5290171278.035509,-1433235805.052415
BEL,201911,393119136.08330214,476622797.87320805,-83503661.7899059,404502846.4207229,385816589.235569,507053642.1435358,506347034.58573955,-102550795.72281289,-120530445.35017055,3982912876.533993,5460314543.517811,-1477401666.9838176
BEL,201912,358364471.27262294,472171305.3757928,-113806834.10316986,374891945.3200447,397587465.6092529,484738727.682724,519968534.7654403,-109846782.3626793,-122381069.15618736,4106717906.2141476,5583091997.546843,-1476374091.3326952
BEL,202001,381937855.0964192,498672900.804727,-116735045.7083078,362658708.17294735,380684499.9712383,486133540.6454383,492641970.1572327,-123474832.47249097,-111957470.18599439,4224521452.4772453,5756029413.812237,-1531507961.334991
BEL,202002,349360691.05037516,478644830.4354191,-129284139.38504392,363024141.4614278,366858264.9848066,528890863.242791,499921043.85698444,-165866721.7813632,-133062778.87217784,4323852115.143259,5893657447.450049,-1569805332.3067899
BEL,202003,380195511.0508863,516663593.6027475,-136468082.55186123,361831813.1840384,362504887.6061378,500108755.37319356,505044386.4204743,-138276942.18915516,-142539498.81433648,4387222430.166349,6001230520.057337,-1614008089.8909872
BEL,202004,315235461.08193374,406640242.02311546,-91404780.94118172,326643272.7528543,350499742.46610683,411777069.631961,480258896.0826485,-85133796.8791067,-129759153.61654168,4400432152.938328,5960170716.821005,-1559738563.8826776
BEL,202005,302572968.9827485,407857394.5612764,-105284425.57852787,323486638.2887808,337320574.74189115,394984030.00152737,435623285.0022273,-71497391.71274656,-98302710.26033616,4359333724.878563,5797692217.278945,-1438358492.4003823
BEL,202006,346210460.9393444,434396624.79583216,-88186163.85648775,306476874.2585265,318868928.4333872,389997425.2701013,398919508.3011966,-83520551.0115748,-80050579.86780936,4319976103.897524,5758172093.429293,-1438195989.531768
BEL,202007,357379253.60354584,447806990.0363225,-90427736.43277663,378708906.18159366,336224139.5763003,475764744.1651494,420248733.1455927,-97055837.98355573,-84024593.56929237,4303096364.491675,5650981884.078742,-1347885519.5870671
BEL,202008,303600210.82242376,411733463.6424482,-108133252.82002443,298514364.36077464,327900048.266965,391933394.2327551,419231854.55600196,-93419029.87198049,-91331806.28903699,4252507084.7302155,5570280833.899031,-1317773749.1688147
BEL,202009,388006461.1430491,469062009.58281165,-81055548.43976253,374819526.4159431,350680932.3194371,482336109.3598217,450011415.9192421,-107516582.94387859,-99330483.599805,4276223979.486032,5604044828.723028,-1327820849.2369967
BEL,202010,426733701.2945862,508399577.80645454,-81665876.51186836,449897941.3858042,374410610.72084063,494770524.079326,456346675.89063424,-44872582.6935218,-81936065.1697936,4302716182.421237,5528671730.540155,-1225955548.118918
BEL,202011,399393666.8337774,451869156.4791808,-52475489.645403385,401552307.0208348,408756591.6075273,480327012.9977024,485811215.47895,-78774705.97686762,-77054623.87142271,4308990713.171713,5503918089.146128,-1194927375.9744155
BEL,202012,393948149.0706564,463082640.7880797,-69134491.71742326,388568027.82878214,413339425.41180706,464343962.5215938,479813833.1995408,-75775934.69281167,-66474407.78773373,4344574390.969746,5494829424.558415,-1150255033.5886688
