iso,flow,stage,value_usd,coverage
BEL,M,1_raw_materials,1476344001.283,0.9993536080993517
BEL,M,2_wafers,2938336964.8830004,0.9999999617419645
BEL,M,3_litho_optics,652394465.7349999,0.9999672914178145
BEL,M,4_equipment,14019198813.942999,0.9999977592379982
BEL,M,5_chips,33361825463.053993,0.9999780879690231
BEL,M,6_parts,2811484718.6540003,0.9999999999413122
BEL,M,7_baseboards,1588325064.4170003,0.9985748996967249
BEL,M,8_servers,6144979632.056,0.9999531099034898
BEL,X,1_raw_materials,1351629434.738,0.9998424683581701
BEL,X,2_wafers,5417610146.969999,0.9999999484471951
BEL,X,3_litho_optics,290484743.36,0.9999994829332576
BEL,X,4_equipment,13459773180.228003,0.9999957185407785
BEL,X,5_chips,19345391450.518,0.9999852553563605
BEL,X,6_parts,1330350792.479,0.9999999997842673
BEL,X,7_baseboards,1075215749.306,0.999954547010652
BEL,X,8_servers,1650212462.0900002,0.9999867265933914
CAN,M,1_raw_materials,1468754239.867,0.9657077218210713
CAN,M,2_wafers,712643239.3280001,0.980273808006295
CAN,M,3_litho_optics,1429947932.462,0.1559442977508035
CAN,M,4_equipment,26239172537.479,0.8261060162290702
CAN,M,5_chips,25433819217.937996,0.8913930809398533
CAN,M,6_parts,8380442972.997001,0.0
CAN,M,7_baseboards,4746194152.014,0.9831194460129696
CAN,M,8_servers,26783212988.721,0.9911662849727314
CAN,X,1_raw_materials,1354213709.6200001,0.9833353405916022
CAN,X,2_wafers,157068623.85900003,0.33555014157577745
CAN,X,3_litho_optics,1083155754.896,0.2784133775275514
CAN,X,4_equipment,13107485101.220001,0.19061582643702177
CAN,X,5_chips,10227829402.568,0.9293556565448201
CAN,X,6_parts,4731550550.949,0.0
CAN,X,7_baseboards,2135427038.1130002,0.0588102197947137
CAN,X,8_servers,4435641141.288,0.05556745302245734
CHE,M,1_raw_materials,456621482.403,0.9926795052098537
CHE,M,2_wafers,740679968.889,0.9976169693874027
CHE,M,3_litho_optics,2182345258.9579997,0.93987550225364
CHE,M,4_equipment,11117381943.47,0.9817461997101576
CHE,M,5_chips,11049905154.457,0.9724823946737358
CHE,M,6_parts,2728075882.0049996,0.9688024654800113
CHE,M,7_baseboards,2003063692.7229998,0.9710483195508552
CHE,M,8_servers,8556853717.998999,0.9931628122970086
CHE,X,1_raw_materials,168495345.20200002,0.9703466980763769
CHE,X,2_wafers,100872370.1,0.9999991996123427
CHE,X,3_litho_optics,3700905860.61,0.9999873141480037
CHE,X,4_equipment,10871228346.082,0.999988072701826
CHE,X,5_chips,11802239658.279,0.9999915652272042
CHE,X,6_parts,1053238190.9380001,0.9999999931876757
CHE,X,7_baseboards,339375301.68299997,0.9999884823940322
CHE,X,8_servers,1890933877.297,0.9994099413695021
CHK,M,1_raw_materials,28624080216.730003,0.8809291802205421
CHK,M,2_wafers,42906717770.535995,0.9949317108504084
CHK,M,3_litho_optics,129539875465.13301,0.915671368201413
CHK,M,4_equipment,413299794600.157,0.9144671229239837
CHK,M,5_chips,4590990471565.986,0.7753186909124237
CHK,M,6_parts,250231851518.89398,0.9699643400175516
CHK,M,7_baseboards,84989538320.641,0.9880317281277081
CHK,M,8_servers,68999868913.421,0.9697629499560079
CHK,X,1_raw_materials,12166623900.937,0.9407579600905154
CHK,X,2_wafers,44702727331.642,0.9883230903995981
CHK,X,3_litho_optics,46715764958.45599,0.9332041363369954
CHK,X,4_equipment,159987201005.813,0.9450038853667656
CHK,X,5_chips,1179477803957.3499,0.7207716626887564
CHK,X,6_parts,338650182988.612,0.9999999671991909
CHK,X,7_baseboards,92044791569.34,0.9202267841779672
CHK,X,8_servers,163462779036.62802,0.9021517543857368
CHN,M,1_raw_materials,28484142773.0,0.873974737221066
CHN,M,2_wafers,41451993359.0,0.9507572856310705
CHN,M,3_litho_optics,125523398185.0,0.876811615303705
CHN,M,4_equipment,405318503709.0,0.8685485020657917
CHN,M,5_chips,3748891734275.0,0.9247757416751493
CHN,M,6_parts,220233827850.0,0.9359824693479758
CHN,M,7_baseboards,85538171700.0,0.9478526061833047
CHN,M,8_servers,61755577591.0,0.924009893339838
CHN,X,1_raw_materials,12476207150.0,0.9291929376148583
CHN,X,2_wafers,45175260061.0,0.8989521136383923
CHN,X,3_litho_optics,53942307041.0,0.9199723775121655
CHN,X,4_equipment,158551578761.0,0.928426712545663
CHN,X,5_chips,1511286348119.0,0.9468259050615917
CHN,X,6_parts,350472172793.0,0.9056246069569246
CHN,X,7_baseboards,75345906455.0,0.8508042792249927
CHN,X,8_servers,176711571722.0,0.7944648393929812
CZE,M,1_raw_materials,701678606.0,0.9860899877571584
CZE,M,2_wafers,939510732.0,0.9915124130801307
CZE,M,3_litho_optics,2451407568.0,0.9816976998905961
CZE,M,4_equipment,11850972714.0,0.9733479672409614
CZE,M,5_chips,41226251707.0,0.9004513206738327
CZE,M,6_parts,26399665183.0,0.9485955982550159
CZE,M,7_baseboards,9150400059.0,0.9633184442389635
CZE,M,8_servers,7267225429.0,0.97159725853882
CZE,X,1_raw_materials,261137568.0,0.9993448740397245
CZE,X,2_wafers,776603886.0,0.9992332925308076
CZE,X,3_litho_optics,9155483485.0,0.9974069248184548
CZE,X,4_equipment,16157484192.0,0.9925054458626699
CZE,X,5_chips,17659578137.0,0.973907428567924
CZE,X,6_parts,12716830328.0,0.9927238502352062
CZE,X,7_baseboards,8074397126.0,0.9898784543632565
CZE,X,8_servers,46591675550.0,0.9986051300531088
DEU,M,1_raw_materials,6330253897.606999,0.9930583245707393
DEU,M,2_wafers,11448262046.219,1.0
DEU,M,3_litho_optics,11408162350.611,1.0
DEU,M,4_equipment,86323780833.14099,0.9980745372087526
DEU,M,5_chips,237638437990.827,0.9920018897460842
DEU,M,6_parts,45002932034.415,1.0
DEU,M,7_baseboards,18881433649.979004,0.9969840423453723
DEU,M,8_servers,42708660709.927,0.9967418162858322
DEU,X,1_raw_materials,14787066480.784,0.9998804565647084
DEU,X,2_wafers,17601935086.161,1.0
DEU,X,3_litho_optics,39066520217.731995,0.9999898791134253
DEU,X,4_equipment,171111523835.597,0.9999070733718481
DEU,X,5_chips,227130576044.96603,0.9999776015166976
DEU,X,6_parts,29448371816.209,1.0
DEU,X,7_baseboards,8222317196.723,0.999875093073105
DEU,X,8_servers,35324840016.57,0.999999712882012
DNK,M,1_raw_materials,253851437.46800002,0.9956407163771153
DNK,M,2_wafers,303100651.541,0.9999999980930426
DNK,M,3_litho_optics,301568782.11,0.9999999336204501
DNK,M,4_equipment,6521151063.663,0.9999999684978927
DNK,M,5_chips,4916902151.82,0.9999948164176929
DNK,M,6_parts,2850706627.0450006,0.9999999956870342
DNK,M,7_baseboards,1676927152.0570002,0.9999999609833976
DNK,M,8_servers,5992364931.888,0.9999999991158749
DNK,X,1_raw_materials,77210507.498,0.9967353980025773
DNK,X,2_wafers,171965998.921,1.0
DNK,X,3_litho_optics,342473955.604,0.9999999943528552
DNK,X,4_equipment,6251551695.450001,0.9999564665538639
DNK,X,5_chips,3504006735.745,0.9999930235593583
DNK,X,6_parts,4139284806.533,1.0
